Unit Id,Institution name,"Type of cost,  residency, and student housing",2021,2020,2019,2018,2017
101569,Lawson State Community College,       On-campus room and board,4760,4760,4760,4760,4760
101569,Lawson State Community College,       On-campus other expenses,3000,3000,3000,3000,3000
101569,Lawson State Community College,       Books and supplies,2300,2300,2300,2300,1600
101587,University of West Alabama,On-campus out-of-state,32405,32355,32305,30291,28619
101587,University of West Alabama,       Out-of-state  tuition and fees,20090,20090,20090,18490,16818
101587,University of West Alabama,       On-campus room and board,7594,7510,7510,7080,7080
101587,University of West Alabama,       On-campus other expenses,3505,3505,3505,3505,3505
101587,University of West Alabama,       Books and supplies,1216,1250,1200,1216,1216
101602,Lurleen B Wallace Community College,On-campus out-of-state,18677,19217,19097,9802,9202
101602,Lurleen B Wallace Community College,       Out-of-state  tuition and fees,8310,8850,8730,8610,8010
101602,Lurleen B Wallace Community College,       On-campus room and board,5550,5550,5550,0,0
101602,Lurleen B Wallace Community College,       On-campus other expenses,3625,3625,3625,0,0
101602,Lurleen B Wallace Community College,       Books and supplies,1192,1192,1192,1192,1192
101648,Marion Military Institute,On-campus out-of-state,24368,24568,24568,24568,24568
101648,Marion Military Institute,       Out-of-state  tuition and fees,15218,15418,15418,15418,15418
101648,Marion Military Institute,       On-campus room and board,4950,4950,4950,4950,4950
101648,Marion Military Institute,       On-campus other expenses,2400,2400,2400,2400,2400
101648,Marion Military Institute,       Books and supplies,1800,1800,1800,1800,1800
101675,Miles College,On-campus out-of-state,23144,23144,22894,22418,23080
101675,Miles College,       Out-of-state  tuition and fees,12714,12714,12464,12132,11794
101675,Miles College,       On-campus room and board,7348,7348,7348,7254,7254
101675,Miles College,       On-campus other expenses,2832,2832,2832,2832,2832
101675,Miles College,       Books and supplies,250,250,250,200,1200
101693,University of Mobile,On-campus out-of-state,41493,40746,40110,39380,38354
101693,University of Mobile,       Out-of-state  tuition and fees,24855,24310,23860,23230,22210
101693,University of Mobile,       On-campus room and board,10088,9886,9700,9600,9600
101693,University of Mobile,       On-campus other expenses,4750,4750,4750,4750,4744
101693,University of Mobile,       Books and supplies,1800,1800,1800,1800,1800
101709,University of Montevallo,On-campus out-of-state,40866,40740,40738,39310,38260
101709,University of Montevallo,       Out-of-state  tuition and fees,26730,26730,26728,25780,25030
101709,University of Montevallo,       On-campus room and board,9936,9810,9810,9330,9030
101709,University of Montevallo,       On-campus other expenses,3180,3180,3180,3180,3180
101709,University of Montevallo,       Books and supplies,1020,1020,1020,1020,1020
101736,Northwest-Shoals Community College,On-campus out-of-state,10121,10421,10701,10366,9671
101736,Northwest-Shoals Community College,       Out-of-state  tuition and fees,8521,8821,8701,8581,7921
101736,Northwest-Shoals Community College,       On-campus room and board,0,0,0,0,0
101736,Northwest-Shoals Community College,       On-campus other expenses,0,0,0,0,0
101736,Northwest-Shoals Community College,       Books and supplies,1600,1600,2000,1785,1750
101879,University of North Alabama,On-campus out-of-state,32486,32486,32350,30422,26912
101879,University of North Alabama,       Out-of-state  tuition and fees,20220,20220,20220,18452,15128
101879,University of North Alabama,       On-campus room and board,7966,7966,7830,7670,7484
101879,University of North Alabama,       On-campus other expenses,2800,2800,2800,2800,2800
101879,University of North Alabama,       Books and supplies,1500,1500,1500,1500,1500
101897,Northeast Alabama Community College,On-campus out-of-state,11250,11250,11130,11010,10410
101897,Northeast Alabama Community College,       Out-of-state  tuition and fees,8850,8850,8730,8610,8010
101897,Northeast Alabama Community College,       On-campus room and board,0,0,0,0,0
101897,Northeast Alabama Community College,       On-campus other expenses,0,0,0,0,0
101897,Northeast Alabama Community College,       Books and supplies,2400,2400,2400,2400,2400
101912,Oakwood University,On-campus out-of-state,38564,37364,37764,37362,36590
101912,Oakwood University,       Out-of-state  tuition and fees,19990,19990,19990,19792,16720
101912,Oakwood University,       On-campus room and board,9374,9374,9374,9700,12000
101912,Oakwood University,       On-campus other expenses,8000,6800,6900,6370,6370
101912,Oakwood University,       Books and supplies,1200,1200,1500,1500,1500
101994,Reid State Technical College,On-campus out-of-state,9705,10035,9915,9795,9195
101994,Reid State Technical College,       Out-of-state  tuition and fees,8580,8910,8790,8670,8070
101994,Reid State Technical College,       On-campus room and board,0,0,0,0,0
101994,Reid State Technical College,       On-campus other expenses,0,0,0,0,0
101994,Reid State Technical College,       Books and supplies,1125,1125,1125,1125,1125
102030,Bishop State Community College,On-campus out-of-state,10550,10850,10230,10110,9510
102030,Bishop State Community College,       Out-of-state  tuition and fees,8550,8850,8730,8610,8010
102030,Bishop State Community College,       On-campus room and board,0,0,0,0,0
102030,Bishop State Community College,       On-campus other expenses,0,0,0,0,0
102030,Bishop State Community College,       Books and supplies,2000,2000,1500,1500,1500
102049,Samford University,On-campus out-of-state,52514,51314,49634,47863,46474
102049,Samford University,       Out-of-state  tuition and fees,35360,34198,32850,31650,30490
102049,Samford University,       On-campus room and board,11260,11260,10980,10500,10280
102049,Samford University,       On-campus other expenses,4894,4856,4804,4713,4704
102049,Samford University,       Books and supplies,1000,1000,1000,1000,1000
102067,Shelton State Community College,On-campus out-of-state,10277,10550,10471,11907,9859
102067,Shelton State Community College,       Out-of-state  tuition and fees,8277,8550,8471,8907,7759
102067,Shelton State Community College,       On-campus room and board,0,0,0,0,0
102067,Shelton State Community College,       On-campus other expenses,0,0,0,0,0
102067,Shelton State Community College,       Books and supplies,2000,2000,2000,3000,2100
102076,Snead State Community College,On-campus out-of-state,20629,20949,17783,17560,16615
102076,Snead State Community College,       Out-of-state  tuition and fees,9280,9600,8880,8670,8070
102076,Snead State Community College,       On-campus room and board,4675,4675,3611,3611,3187
102076,Snead State Community College,       On-campus other expenses,3939,3939,3042,3029,2795
102076,Snead State Community College,       Books and supplies,2735,2735,2250,2250,2563
102094,University of South Alabama,On-campus out-of-state,31224,31882,31686,30494,29180
102094,University of South Alabama,       Out-of-state  tuition and fees,17012,16292,16292,16292,15324
102094,University of South Alabama,       On-campus room and board,8150,9020,9178,8512,8460
102094,University of South Alabama,       On-campus other expenses,4762,5370,4916,4390,4096
102094,University of South Alabama,       Books and supplies,1300,1200,1300,1300,1300
102234,Spring Hill College,On-campus out-of-state,37004,60543,59062,57676,55168
102234,Spring Hill College,       Out-of-state  tuition and fees,21100,41868,40648,39464,37584
102234,Spring Hill College,       On-campus room and board,11440,14062,13652,13462,13070
102234,Spring Hill College,       On-campus other expenses,2714,2863,3262,3250,3014
102234,Spring Hill College,       Books and supplies,1750,1750,1500,1500,1500
102270,Stillman College,On-campus out-of-state,28052,25646,28092,26245,21986
102270,Stillman College,       Out-of-state  tuition and fees,11392,11292,11292,11092,10792
102270,Stillman College,       On-campus room and board,10054,10054,10194,9564,7394
102270,Stillman College,       On-campus other expenses,4572,3300,4572,4572,2700
102270,Stillman College,       Books and supplies,2034,1000,2034,1017,1100
102298,Talladega College,On-campus out-of-state,27720,23870,24220,23745,22514
102298,Talladega College,       Out-of-state  tuition and fees,13886,13866,13846,13571,12340
102298,Talladega College,       On-campus room and board,8934,6704,6704,6704,6704
102298,Talladega College,       On-campus other expenses,3700,2100,2100,2100,2100
102298,Talladega College,       Books and supplies,1200,1200,1570,1370,1370
102313,H Councill Trenholm State Community College,On-campus out-of-state,10460,10760,10440,10520,9720
102313,H Councill Trenholm State Community College,       Out-of-state  tuition and fees,8460,8760,8640,8520,7920
102313,H Councill Trenholm State Community College,       On-campus room and board,0,0,0,0,0
102313,H Councill Trenholm State Community College,       On-campus other expenses,0,0,0,0,0
102313,H Councill Trenholm State Community College,       Books and supplies,2000,2000,1800,2000,1800
102368,Troy University,On-campus out-of-state,32289,29678,29578,27947,27399
102368,Troy University,       Out-of-state  tuition and fees,18624,16708,16708,16708,16276
102368,Troy University,       On-campus room and board,7599,6904,6804,6804,6688
102368,Troy University,       On-campus other expenses,4766,4766,4766,3297,3297
102368,Troy University,       Books and supplies,1300,1300,1300,1138,1138
102377,Tuskegee University,On-campus out-of-state,41924,41924,40750,39383,39383
102377,Tuskegee University,       Out-of-state  tuition and fees,22614,22614,22614,22170,22170
102377,Tuskegee University,       On-campus room and board,9844,9844,9844,9650,9650
102377,Tuskegee University,       On-campus other expenses,7654,7654,6480,5907,5907
102377,Tuskegee University,       Books and supplies,1812,1812,1812,1656,1656
102395,United States Sports Academy,On-campus out-of-state,17424,17424,17424,,
102395,United States Sports Academy,       Out-of-state  tuition and fees,16418,16418,16418,,
102395,United States Sports Academy,       On-campus room and board,0,0,0,,
102395,United States Sports Academy,       On-campus other expenses,0,0,0,,
102395,United States Sports Academy,       Books and supplies,1006,1006,1006,,
102429,Bevill State Community College,On-campus out-of-state,20742,21062,20934,20806,19524
102429,Bevill State Community College,       Out-of-state  tuition and fees,9150,9470,9342,9214,8574
102429,Bevill State Community College,       On-campus room and board,4576,4576,4576,4576,3300
102429,Bevill State Community College,       On-campus other expenses,5616,5616,5616,5616,6450
102429,Bevill State Community College,       Books and supplies,1400,1400,1400,1400,1200
102553,University of Alaska Anchorage,On-campus out-of-state,47486,46210,46694,41826,39902
102553,University of Alaska Anchorage,       Out-of-state  tuition and fees,25228,25228,28084,23216,19494
102553,University of Alaska Anchorage,       On-campus room and board,12662,12662,11878,11878,11962
102553,University of Alaska Anchorage,       On-campus other expenses,8276,7000,5292,5292,6838
102553,University of Alaska Anchorage,       Books and supplies,1320,1320,1440,1440,1608
102580,Alaska Bible College,On-campus out-of-state,20856,19471,20078,19984,19904
102580,Alaska Bible College,       Out-of-state  tuition and fees,10900,9700,9700,9600,9600
102580,Alaska Bible College,       On-campus room and board,6000,6000,5800,5704,5700
102580,Alaska Bible College,       On-campus other expenses,3556,3371,4178,4080,4004
102580,Alaska Bible College,       Books and supplies,400,400,400,600,600
102614,University of Alaska Fairbanks,On-campus out-of-state,36574,36502,36306,33842,32563
102614,University of Alaska Fairbanks,       Out-of-state  tuition and fees,21384,21312,21216,20218,19183
102614,University of Alaska Fairbanks,       On-campus room and board,10540,10540,10440,8974,8730
102614,University of Alaska Fairbanks,       On-campus other expenses,2650,2650,2650,2650,2650
102614,University of Alaska Fairbanks,       Books and supplies,2000,2000,2000,2000,2000
102632,University of Alaska Southeast,On-campus out-of-state,34744,34744,33880,32904,32581
102632,University of Alaska Southeast,       Out-of-state  tuition and fees,21096,21096,20832,19856,19533
102632,University of Alaska Southeast,       On-campus room and board,9800,9800,9200,9200,9200
102632,University of Alaska Southeast,       On-campus other expenses,2448,2448,2448,2448,2448
102632,University of Alaska Southeast,       Books and supplies,1400,1400,1400,1400,1400
102669,Alaska Pacific University,On-campus out-of-state,34670,34670,34700,34700,34210
102669,Alaska Pacific University,       Out-of-state  tuition and fees,20760,20760,20760,20760,20760
102669,Alaska Pacific University,       On-campus room and board,8300,8300,8330,8330,7900
102669,Alaska Pacific University,       On-campus other expenses,4410,4410,4410,4410,4350
102669,Alaska Pacific University,       Books and supplies,1200,1200,1200,1200,1200
102845,Charter College,On-campus out-of-state,17289,18711,18161,22655,21908
102845,Charter College,       Out-of-state  tuition and fees,17289,18711,18161,22655,21908
102845,Charter College,       On-campus room and board,0,0,0,0,0
102845,Charter College,       On-campus other expenses,0,0,0,0,0
102845,Charter College,       Books and supplies,0,0,0,0,0
103963,Miller-Motte College-Arizona Automotive Institute,On-campus out-of-state,,,,,
103963,Miller-Motte College-Arizona Automotive Institute,       Out-of-state  tuition and fees,,,,,
103963,Miller-Motte College-Arizona Automotive Institute,       On-campus room and board,,,,,
103963,Miller-Motte College-Arizona Automotive Institute,       On-campus other expenses,,,,,
103963,Miller-Motte College-Arizona Automotive Institute,       Books and supplies,,,,,
104090,Brookline College-Phoenix,On-campus out-of-state,,,,,
104090,Brookline College-Phoenix,       Out-of-state  tuition and fees,,,,,
104090,Brookline College-Phoenix,       On-campus room and board,,,,,
104090,Brookline College-Phoenix,       On-campus other expenses,,,,,
104090,Brookline College-Phoenix,       Books and supplies,,,,,
104151,Arizona State University Campus Immersion,On-campus out-of-state,47864,47668,47193,45562,44110
104151,Arizona State University Campus Immersion,       Out-of-state  tuition and fees,29438,29428,29428,28336,27372
104151,Arizona State University Campus Immersion,       On-campus room and board,13696,13510,13164,12648,12209
104151,Arizona State University Campus Immersion,       On-campus other expenses,3430,3430,3430,3430,3404
104151,Arizona State University Campus Immersion,       Books and supplies,1300,1300,1171,1148,1125
104160,Arizona Western College,On-campus out-of-state,27133,24621,24429,24369,24201
104160,Arizona Western College,       Out-of-state  tuition and fees,11450,9830,9770,9710,9650
104160,Arizona Western College,       On-campus room and board,7702,6810,6678,6678,6570
104160,Arizona Western College,       On-campus other expenses,5981,5981,5981,5981,5981
104160,Arizona Western College,       Books and supplies,2000,2000,2000,2000,2000
104179,University of Arizona,On-campus out-of-state,55208,55208,54088,53116,52178
104179,University of Arizona,       Out-of-state  tuition and fees,37258,37258,36738,36366,35678
104179,University of Arizona,       On-campus room and board,13450,13450,13050,12550,12300
104179,University of Arizona,       On-campus other expenses,3600,3600,3500,3400,3400
104179,University of Arizona,       Books and supplies,900,900,800,800,800
104346,Central Arizona College,On-campus out-of-state,16860,16875,17324,23200,22500
104346,Central Arizona College,       Out-of-state  tuition and fees,5160,5160,5160,11100,11100
104346,Central Arizona College,       On-campus room and board,7300,7300,7764,7700,7000
104346,Central Arizona College,       On-campus other expenses,2800,2815,2800,2800,2800
104346,Central Arizona College,       Books and supplies,1600,1600,1600,1600,1600
104425,Cochise County Community College District,On-campus out-of-state,18193,18103,18193,18103,17735
104425,Cochise County Community College District,       Out-of-state  tuition and fees,6240,6240,6240,6240,6240
104425,Cochise County Community College District,       On-campus room and board,7362,7272,7362,7272,6904
104425,Cochise County Community College District,       On-campus other expenses,2791,2791,2791,2791,2791
104425,Cochise County Community College District,       Books and supplies,1800,1800,1800,1800,1800
104577,Eastern Arizona College,On-campus out-of-state,22986,21655,21593,23495,23150
104577,Eastern Arizona College,       Out-of-state  tuition and fees,9120,9120,9120,11400,11250
104577,Eastern Arizona College,       On-campus room and board,9100,7835,7835,6790,6595
104577,Eastern Arizona College,       On-campus other expenses,3760,3708,3646,4455,4455
104577,Eastern Arizona College,       Books and supplies,1006,992,992,850,850
104586,Embry-Riddle Aeronautical University-Prescott,On-campus out-of-state,58036,56260,54536,53046,51036
104586,Embry-Riddle Aeronautical University-Prescott,       Out-of-state  tuition and fees,38966,37864,36708,35654,34662
104586,Embry-Riddle Aeronautical University-Prescott,       On-campus room and board,12736,12174,11718,11394,10468
104586,Embry-Riddle Aeronautical University-Prescott,       On-campus other expenses,4934,4822,4710,4598,4506
104586,Embry-Riddle Aeronautical University-Prescott,       Books and supplies,1400,1400,1400,1400,1400
104665,The School of Architecture,On-campus out-of-state,,,,,
104665,The School of Architecture,       Out-of-state  tuition and fees,,,,,
104665,The School of Architecture,       On-campus room and board,,,,,
104665,The School of Architecture,       On-campus other expenses,,,,,
104665,The School of Architecture,       Books and supplies,,,,,
104708,Glendale Community College,On-campus out-of-state,9318,9326,9318,9278,9268
104708,Glendale Community College,       Out-of-state  tuition and fees,7854,7854,7854,7854,7878
104708,Glendale Community College,       On-campus room and board,0,0,0,0,0
104708,Glendale Community College,       On-campus other expenses,0,0,0,0,0
104708,Glendale Community College,       Books and supplies,1464,1472,1464,1424,1390
104717,Grand Canyon University,On-campus out-of-state,32100,32100,32100,32100,32100
104717,Grand Canyon University,       Out-of-state  tuition and fees,17800,17800,17800,17050,17050
104717,Grand Canyon University,       On-campus room and board,7800,7800,7800,8550,8550
104717,Grand Canyon University,       On-campus other expenses,5700,5700,5700,5700,5700
104717,Grand Canyon University,       Books and supplies,800,800,800,800,800
105145,GateWay Community College,On-campus out-of-state,9318,9326,9318,9278,9268
105145,GateWay Community College,       Out-of-state  tuition and fees,7854,7854,7854,7854,7878
105145,GateWay Community College,       On-campus room and board,0,0,0,0,0
105145,GateWay Community College,       On-campus other expenses,0,0,0,0,0
105145,GateWay Community College,       Books and supplies,1464,1472,1464,1424,1390
105154,Mesa Community College,On-campus out-of-state,9318,9326,9318,9278,9268
105154,Mesa Community College,       Out-of-state  tuition and fees,7854,7854,7854,7854,7878
105154,Mesa Community College,       On-campus room and board,0,0,0,0,0
105154,Mesa Community College,       On-campus other expenses,0,0,0,0,0
105154,Mesa Community College,       Books and supplies,1464,1472,1464,1424,1390
105206,Mohave Community College,On-campus out-of-state,7728,7692,7782,7782,7782
105206,Mohave Community College,       Out-of-state  tuition and fees,7008,6972,6972,6972,6972
105206,Mohave Community College,       On-campus room and board,0,0,0,0,0
105206,Mohave Community College,       On-campus other expenses,0,0,0,0,0
105206,Mohave Community College,       Books and supplies,720,720,810,810,810
105297,Dine College,On-campus out-of-state,12700,12700,12700,12000,12700
105297,Dine College,       Out-of-state  tuition and fees,1410,1410,1410,1410,1410
105297,Dine College,       On-campus room and board,4940,4940,4940,4240,4940
105297,Dine College,       On-campus other expenses,4950,4950,4950,4950,4950
105297,Dine College,       Books and supplies,1400,1400,1400,1400,1400
105330,Northern Arizona University,On-campus out-of-state,43600,43468,42770,41530,40705
105330,Northern Arizona University,       Out-of-state  tuition and fees,26642,26642,26516,25828,24841
105330,Northern Arizona University,       On-campus room and board,11338,11106,10534,10282,9944
105330,Northern Arizona University,       On-campus other expenses,4720,4720,4720,4420,4920
105330,Northern Arizona University,       Books and supplies,900,1000,1000,1000,1000
105349,Northland Pioneer College,On-campus out-of-state,11250,11251,10760,10400,10160
